model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Qwen3-8B,0,mmlu,,1,1,0.33940739929676056,0.9860013723373413,0.201577415689826,10.125,0.07214130461215973,0.2689267694950104,0
Qwen3-8B,0,mmlu,,1,1,0.2253148853778839,0.8402223587036133,0.28771192394196987,5.0,0.2386375069618225,0.40255919098854065,0
Qwen3-8B,0,mmlu,,0,1,-0.08008360862731934,0.920677661895752,0.4258951246738434,1.0,0.2645876109600067,0.40407606959342957,0
Qwen3-8B,0,mmlu,,1,1,0.0534360408782959,1.1336190700531006,0.48410914838314056,2.5,0.1442154236137867,0.3602469265460968,0
Qwen3-8B,0,mmlu,,1,0,0.20127230137586594,0.5843043923377991,0.24169079796411097,9.25,0.21349599957466125,0.35492682456970215,0
Qwen3-8B,0,mmlu,,0,1,-0.47648995369672775,0.2481551319360733,0.30574729293584824,3.25,0.08759822323918343,0.21500186622142792,0
Qwen3-8B,0,mmlu,,0,0,0.1339859664440155,0.7828922271728516,0.3427702388726175,7.875,0.2778581716120243,0.4887290894985199,0
Qwen3-8B,0,mmlu,,1,0,0.6375310122966766,1.1572848558425903,0.3520144745707512,8.125,0.08041111379861832,0.2003726363182068,0
Qwen3-8B,0,mmlu,,1,1,0.08191630244255066,0.6781221628189087,0.31719002686440945,6.0,0.21879816055297852,0.30324527621269226,0
Qwen3-8B,0,mmlu,,0,0,0.05177077651023865,0.9604107737541199,0.476966455578804,1.875,0.29299452528357506,0.5232648253440857,0
Qwen3-8B,0,mmlu,,1,0,0.4864759221673012,0.9255030155181885,0.40340968407690525,6.875,0.1891198828816414,0.2618791162967682,0
Qwen3-8B,0,mmlu,,0,0,0.2846378684043884,0.867072343826294,0.33569543063640594,3.125,0.24732547253370285,0.40914011001586914,0
Qwen3-8B,0,mmlu,,0,1,0.20186829566955566,1.1908272504806519,0.5616974979639053,1.625,0.2862812243402004,0.494598925113678,0
Qwen3-8B,0,mmlu,,1,0,-0.08615967631340027,0.3251987397670746,0.40901461709290743,6.125,0.1899297572672367,0.2604359984397888,0
Qwen3-8B,0,mmlu,,1,0,0.20117896795272827,0.8804229497909546,0.4297889908775687,6.75,0.1751648336648941,0.31001797318458557,0
Qwen3-8B,0,mmlu,,1,1,0.6043933071196079,1.1251747608184814,0.3766204337007366,9.5,0.30912409722805023,0.3372737169265747,0
Qwen3-8B,0,mmlu,,0,0,-0.1670355200767517,0.6504486203193665,0.6365820616483688,0.5,0.2518632486462593,0.38905516266822815,0
Qwen3-8B,0,mmlu,,1,0,0.3709365725517273,1.0804625749588013,0.3491265712073073,10.5,0.12706726416945457,0.33458539843559265,0
Qwen3-8B,0,mmlu,,1,1,0.2240554541349411,0.9450828433036804,0.28383638616651297,6.75,0.2806147038936615,0.4260454475879669,0
Qwen3-8B,0,mmlu,,0,0,-0.04988405108451843,0.8493003249168396,0.3803180605173111,4.25,0.12217634078115225,0.2580379545688629,0
Qwen3-8B,0,mmlu,,1,1,0.24723999202251434,0.9438098073005676,0.4542484264820814,5.5,0.18757178261876106,0.2817138135433197,0
Qwen3-8B,0,mmlu,,1,1,0.1388123631477356,1.0100407600402832,0.3059989409521222,7.125,0.17697615921497345,0.491568922996521,0
Qwen3-8B,0,mmlu,,0,0,-0.5670296028256416,0.22850070893764496,0.8272767066955566,0.75,0.2636059336364269,0.5377339720726013,0
Qwen3-8B,0,mmlu,,1,0,0.358615979552269,1.0602529048919678,0.3340099826455116,2.875,0.11285926564596593,0.21839526295661926,0
Qwen3-8B,0,mmlu,,0,1,0.007914125919342041,1.229368805885315,0.46266116201877594,2.625,0.2744594942778349,0.5172556042671204,0
Qwen3-8B,0,mmlu,,0,1,-0.1103397011756897,0.695236325263977,0.8089026808738708,0.125,0.16161247715353966,0.25104641914367676,0
Qwen3-8B,0,mmlu,,1,0,0.2795722782611847,0.9064845442771912,0.32731142680859193,8.875,0.1707574911415577,0.45018336176872253,0
Qwen3-8B,0,mmlu,,1,0,0.38701586425304413,1.0778874158859253,0.3368335943669081,5.5,0.2221922054886818,0.2891618609428406,0
Qwen3-8B,0,mmlu,,1,0,-0.09861700236797333,0.3488214910030365,0.4085776098072529,6.5,0.23631923459470272,0.44397053122520447,0
Qwen3-8B,0,mmlu,,0,0,-0.3148907423019409,0.613825798034668,0.8751198053359985,0.75,0.23367003351449966,0.288735955953598,0
Qwen3-8B,0,mmlu,,1,0,-0.18984490633010864,0.3016633987426758,0.12421968951821327,3.625,0.20126842707395554,0.3261549472808838,0
Qwen3-8B,0,mmlu,,1,0,0.3821948803961277,0.8064562082290649,0.5812527537345886,2.625,0.20750945759937167,0.4045451581478119,0
Qwen3-8B,0,mmlu,,1,0,0.37233662605285645,1.1822655200958252,0.4998933784663677,8.25,0.12964997440576553,0.1463412046432495,0
Qwen3-8B,0,mmlu,,1,0,0.358029805123806,0.9491884708404541,0.3554257925134152,8.0,0.23838724941015244,0.3705679178237915,0
Qwen3-8B,0,mmlu,,1,0,0.6495477557182312,1.3343058824539185,0.42033197672571987,10.25,0.10044784843921661,0.15858562290668488,0
Qwen3-8B,0,mmlu,,0,0,-0.06944900751113892,0.8920670747756958,0.7448250949382782,0.75,0.14158620312809944,0.19986940920352936,0
Qwen3-8B,0,mmlu,,1,0,0.06708592176437378,0.9083488583564758,0.6126316636800766,2.0,0.04989452101290226,0.14262531697750092,0
Qwen3-8B,0,mmlu,,1,0,0.6874933540821075,1.2778186798095703,0.1385756223462522,9.625,0.12679127603769302,0.29572880268096924,0
Qwen3-8B,0,mmlu,,1,0,0.3573596626520157,0.8879414200782776,0.44664411433041096,6.0,0.15809984877705574,0.3001277446746826,0
Qwen3-8B,0,mmlu,,0,0,0.33816762268543243,0.9158036112785339,0.12883986090309918,8.25,0.23826511576771736,0.35857105255126953,0
Qwen3-8B,0,mmlu,,1,1,0.2732200026512146,1.0508266687393188,0.28542142175137997,7.0,0.26676228642463684,0.35984641313552856,0
Qwen3-8B,0,mmlu,,1,0,0.3011755049228668,1.144242525100708,0.37563633918762207,4.375,0.11392029002308846,0.24866096675395966,0
Qwen3-8B,0,mmlu,,1,0,0.18893036246299744,0.950718879699707,0.38305665692314506,6.875,0.19682244211435318,0.32395267486572266,0
Qwen3-8B,0,mmlu,,1,0,0.4106933921575546,1.0878092050552368,0.44617133354768157,8.125,0.1999988630414009,0.29855963587760925,0
Qwen3-8B,0,mmlu,,0,1,0.2415463924407959,1.0326844453811646,0.2710966020822525,4.5,0.23049245029687881,0.3347284495830536,0
Qwen3-8B,0,mmlu,,1,1,0.10038149356842041,0.7823159098625183,0.24449857138097286,5.75,0.1859409660100937,0.44170793890953064,0
Qwen3-8B,0,mmlu,,1,1,0.25347118079662323,0.9257835149765015,0.29289677180349827,6.25,0.3003322407603264,0.42771825194358826,0
Qwen3-8B,0,mmlu,,1,0,0.3936201110482216,1.0080201625823975,0.4348258525133133,2.625,0.10911024734377861,0.27712488174438477,0
Qwen3-8B,0,mmlu,,1,0,0.5778351500630379,1.2271244525909424,0.3720378279685974,9.375,0.23017209023237228,0.30700600147247314,0
Qwen3-8B,0,mmlu,,1,1,0.10319799184799194,0.8448551297187805,0.14691925048828125,3.75,0.160807017236948,0.33790549635887146,0
Qwen3-8B,0,mmlu,,1,0,0.19984112679958344,0.7670745849609375,0.49034260428743437,9.75,0.33916331082582474,0.4952608346939087,0
Qwen3-8B,0,mmlu,,1,0,0.4038371741771698,1.09654700756073,0.263874267693609,8.0,0.0891056377440691,0.23881001770496368,0
Qwen3-8B,0,mmlu,,1,1,-0.11769911646842957,0.45549577474594116,0.31520457565784454,3.875,0.2788194492459297,0.46243393421173096,0
Qwen3-8B,0,mmlu,,1,0,0.26790331304073334,0.8892061114311218,0.42457375675439835,3.625,0.27129144221544266,0.4574137032032013,0
Qwen3-8B,0,mmlu,,1,0,0.5359850116074085,1.1354095935821533,0.21382460556924343,6.625,0.2597990073263645,0.449240505695343,0
Qwen3-8B,0,mmlu,,1,0,0.7147512787154743,1.144092321395874,0.4442626636492995,9.75,0.044062468622412,0.3590986430644989,0
Qwen3-8B,0,mmlu,,1,0,0.4069320484995842,1.0133174657821655,0.24716715747490525,7.75,0.3181234076619148,0.5725497007369995,0
Qwen3-8B,0,mmlu,,1,0,0.24260595440864563,0.7890137434005737,0.5154835460707545,9.25,0.2753647416830063,0.3633524179458618,0
Qwen3-8B,0,mmlu,,1,1,-0.11533647775650024,0.8102425336837769,0.36686132848262787,3.25,0.27275752276182175,0.503316342830658,0
Qwen3-8B,0,mmlu,,1,0,0.44435425102710724,1.0808196067810059,0.3817260889336467,8.375,0.10912387818098068,0.17429260909557343,0
Qwen3-8B,0,mmlu,,1,0,0.40413932502269745,0.9156099557876587,0.3103196118026972,7.375,0.10344222257845104,0.2038538008928299,0
Qwen3-8B,0,mmlu,,1,0,0.4233045279979706,1.174882411956787,0.22044476866722107,4.625,0.24178078956902027,0.4582628309726715,0
Qwen3-8B,0,mmlu,,0,1,-0.05912292003631592,0.8702547550201416,0.5569809377193451,1.625,0.2551860697567463,0.4012780785560608,0
Qwen3-8B,0,mmlu,,1,0,0.578456130810082,1.1860629320144653,0.28410499659366906,9.375,0.18160732090473175,0.2562964856624603,0
Qwen3-8B,0,mmlu,,0,0,-0.15567544102668762,0.7093890309333801,0.43790413439273834,2.625,0.2126804143190384,0.3438028395175934,0
Qwen3-8B,0,mmlu,,0,0,0.15246865153312683,0.9588945508003235,0.47574903815984726,3.875,0.21931231021881104,0.3409610688686371,0
Qwen3-8B,0,mmlu,,1,0,0.39878004789352417,0.9571552276611328,0.442250051535666,7.875,0.12040421646088362,0.24092333018779755,0
Qwen3-8B,0,mmlu,,0,1,0.003939896821975708,0.8288480639457703,0.32595404610037804,4.25,0.2863371688872576,0.6210958361625671,0
Qwen3-8B,0,mmlu,,1,0,0.04443562030792236,0.7562419176101685,0.4493689686059952,3.125,0.1974949650466442,0.3285653591156006,0
Qwen3-8B,0,mmlu,,1,0,0.8150431253015995,1.4604045152664185,0.34443651583012524,11.25,0.11222910979995504,0.3033445477485657,0
Qwen3-8B,0,mmlu,,1,0,0.161529541015625,0.9279351830482483,0.809558242559433,0.25,0.26593647990375757,0.52298903465271,0
