model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.08049964904785156,0.272345632314682,0.015982882352545857,7.25,0.16356415301561356,0.20208165049552917,0,-0.08049964904785156
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.1882038339972496,0.24432124197483063,0.03706669248640537,5.875,0.1222502589225769,0.1589532196521759,0,-0.1882038339972496
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.3126526027917862,0.16252431273460388,0.2920973263680935,3.0,0.10152174904942513,0.22192423045635223,0,-0.3126526027917862
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.1901082620024681,0.2312016636133194,0.4632975235581398,2.125,0.1646474227309227,0.17628136277198792,0,-0.1901082620024681
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.08989377319812775,0.36739715933799744,0.0017689584929030389,8.875,0.06407716660760343,0.1330415904521942,0,-0.08989377319812775
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.31082063913345337,0.10881370306015015,0.2801523730158806,3.0,0.10357801057398319,0.1597408503293991,0,-0.31082063913345337
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.2231631949543953,0.21471641957759857,0.4561243475181982,1.5,0.07940523885190487,0.11568763107061386,0,-0.2231631949543953
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.10635120421648026,0.38343578577041626,0.0014387565024662763,9.0,-0.0017113182693719864,0.056426290422677994,0,0.10635120421648026
Llama-3.1-8B-Instruct,0,mmlu,,1,1,-0.21220708638429642,0.21546702086925507,0.48795190965756774,0.875,0.13105757161974907,0.15070302784442902,0,-0.21220708638429642
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.35684023052453995,0.14281980693340302,0.31708118331152946,2.25,0.06238517537713051,0.06855311989784241,0,-0.35684023052453995
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.1609768271446228,0.20589804649353027,0.015541092259809375,6.0,0.07512292079627514,0.1293560415506363,0,-0.1609768271446228
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.006187170743942261,0.3729536533355713,0.012487269996199757,5.75,0.08872968703508377,0.12549124658107758,0,-0.006187170743942261
Llama-3.1-8B-Instruct,0,mmlu,,0,1,-0.11937910318374634,0.3046751022338867,0.5630705831572413,0.875,0.09459790587425232,0.1177869588136673,0,-0.11937910318374634
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.3300076499581337,0.12423406541347504,0.12260355055332184,3.875,0.05028683319687843,0.05761227756738663,0,-0.3300076499581337
