model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Qwen3-8B,0,mmlu,,1,1,-0.9184291197452694,-0.0008202460594475269,0.201577415689826,10.125,0.07214130461215973,0.2689267694950104,0,-0.9184291197452694
Qwen3-8B,0,mmlu,,1,1,-1.289626032114029,-0.3480592370033264,0.28771192394196987,5.0,0.2386375069618225,0.40255919098854065,0,-1.289626032114029
Qwen3-8B,0,mmlu,,0,1,-1.754439353942871,-0.44220829010009766,0.4258951246738434,1.0,0.2645876109600067,0.40407606959342957,0,-1.754439353942871
Qwen3-8B,0,mmlu,,1,1,-1.3604547628201544,0.014553855173289776,0.48410914838314056,2.5,0.1442154236137867,0.3602469265460968,0,-1.3604547628201544
Qwen3-8B,0,mmlu,,1,0,-1.2865996807813644,-0.49305447936058044,0.24169079796411097,9.25,0.21349599957466125,0.35492682456970215,0,-1.2865996807813644
Qwen3-8B,0,mmlu,,0,1,-2.3250112533569336,-1.440969705581665,0.30574729293584824,3.25,0.08759822323918343,0.21500186622142792,0,-2.3250112533569336
Qwen3-8B,0,mmlu,,0,0,-1.363997757434845,-0.3107396364212036,0.3427702388726175,7.875,0.2778581716120243,0.4887290894985199,0,-1.363997757434845
Qwen3-8B,0,mmlu,,1,0,-0.7902227863669395,0.07586736977100372,0.3520144745707512,8.125,0.08041111379861832,0.2003726363182068,0,-0.7902227863669395
Qwen3-8B,0,mmlu,,1,1,-1.424098938703537,-0.5803610682487488,0.31719002686440945,6.0,0.21879816055297852,0.30324527621269226,0,-1.424098938703537
Qwen3-8B,0,mmlu,,0,0,-1.3825698047876358,-0.07918456196784973,0.476966455578804,1.875,0.29299452528357506,0.5232648253440857,0,-1.3825698047876358
Qwen3-8B,0,mmlu,,1,0,-0.8811640664935112,-0.12054096162319183,0.40340968407690525,6.875,0.1891198828816414,0.2618791162967682,0,-0.8811640664935112
Qwen3-8B,0,mmlu,,0,0,-1.0742728784680367,-0.16133441030979156,0.33569543063640594,3.125,0.24732547253370285,0.40914011001586914,0,-1.0742728784680367
Qwen3-8B,0,mmlu,,0,1,-1.2954102354124188,0.014200529083609581,0.5616974979639053,1.625,0.2862812243402004,0.494598925113678,0,-1.2954102354124188
Qwen3-8B,0,mmlu,,1,0,-1.5971047282218933,-0.9582127332687378,0.40901461709290743,6.125,0.1899297572672367,0.2604359984397888,0,-1.5971047282218933
Qwen3-8B,0,mmlu,,1,0,-1.220003992319107,-0.1843441128730774,0.4297889908775687,6.75,0.1751648336648941,0.31001797318458557,0,-1.220003992319107
Qwen3-8B,0,mmlu,,1,1,-0.9368199333548546,0.07652397453784943,0.3766204337007366,9.5,0.30912409722805023,0.3372737169265747,0,-0.9368199333548546
Qwen3-8B,0,mmlu,,0,0,-1.90037202835083,-0.8691048622131348,0.6365820616483688,0.5,0.2518632486462593,0.38905516266822815,0,-1.90037202835083
