model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.16066552698612213,0.16142162680625916,0.2670174475933891,10.625,0.12366911396384239,0.1358371078968048,0,-0.16066552698612213,0,0,10.625,0.2670174475933891
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.2102346494793892,0.23210589587688446,0.04664793785195798,8.625,0.2958083972334862,0.5359362959861755,0,-0.2102346494793892,0,0,8.625,0.04664793785195798
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.03877938538789749,0.2462145984172821,0.2447381243109703,5.25,0.216653972864151,0.2962038516998291,0,0.03877938538789749,0,0,5.25,0.2447381243109703
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.41290055215358734,0.4741089344024658,0.1771702142432332,6.0,0.28044988214969635,0.353085458278656,0,0.41290055215358734,0,0,6.0,0.1771702142432332
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.08592593669891357,0.31858327984809875,0.09187386208213866,9.875,0.14892452955245972,0.16957612335681915,0,-0.08592593669891357,0,0,9.875,0.09187386208213866
Qwen2.5-7B-Instruct,0,mmlu,,0,1,0.10066183190792799,0.1999085545539856,0.017125948332250118,6.875,0.25028241239488125,0.4582984745502472,0,0.10066183190792799,0,0,6.875,0.017125948332250118
Qwen2.5-7B-Instruct,0,mmlu,,0,0,0.23529887944459915,0.2683512270450592,0.35464480333030224,6.25,0.34484459459781647,0.4573388397693634,0,0.23529887944459915,0,0,6.25,0.35464480333030224
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.2280653826892376,-0.019964389503002167,0.17426701474335005,16.625,0.14307158067822456,0.20962977409362793,0,-0.2280653826892376,0,0,16.625,0.17426701474335005
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.12726402282714844,0.16161906719207764,0.05019464157521725,5.125,0.2995908781886101,0.41294166445732117,0,0.12726402282714844,0,0,5.125,0.05019464157521725
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.6590226590633392,-0.34044671058654785,0.039488657377660275,5.25,0.3205806463956833,0.5177847146987915,0,-0.6590226590633392,0,0,5.25,0.039488657377660275
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.12515873461961746,0.14188598096370697,0.5754480548112042,14.75,0.18932053446769714,0.21013450622558594,0,-0.12515873461961746,0,0,14.75,0.5754480548112042
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.12791825830936432,-0.06799875199794769,0.3850923217833042,3.75,0.2878614366054535,0.47134754061698914,0,-0.12791825830936432,0,0,3.75,0.3850923217833042
Qwen2.5-7B-Instruct,0,mmlu,,0,1,-0.07086299359798431,0.34110185503959656,0.727956235408783,1.25,0.20563995093107224,0.2605482041835785,0,-0.07086299359798431,0,0,1.25,0.727956235408783
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.018311813473701477,0.39965322613716125,0.05893420148640871,4.0,0.23654767870903015,0.345439612865448,0,0.018311813473701477,0,0,4.0,0.05893420148640871
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.3877742774784565,0.11582531780004501,0.07653074618428946,7.5,0.30301225930452347,0.4545002281665802,0,-0.3877742774784565,0,0,7.5,0.07653074618428946
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.1814979463815689,0.25277653336524963,0.5221829600632191,6.625,0.24401506036520004,0.3899818956851959,0,0.1814979463815689,0,0,6.625,0.5221829600632191
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.06957948207855225,0.22425907850265503,0.11580305454663176,13.375,0.18568702414631844,0.2568834722042084,0,0.06957948207855225,0,0,13.375,0.11580305454663176
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.01667390763759613,0.45132553577423096,0.1596331017844932,12.75,0.21325772255659103,0.2765107750892639,0,0.01667390763759613,0,0,12.75,0.1596331017844932
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.039576295763254166,0.11597564071416855,0.1612154529138934,10.75,0.29855865985155106,0.4412652552127838,0,-0.039576295763254166,0,0,10.75,0.1612154529138934
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.33822156488895416,-0.2061159908771515,0.04086319118505344,4.25,0.16134172677993774,0.23854728043079376,0,-0.33822156488895416,0,0,4.25,0.04086319118505344
Qwen2.5-7B-Instruct,0,mmlu,,0,1,-0.39005759358406067,0.4946133494377136,0.5273576378822327,3.125,0.1366237848997116,0.17433521151542664,0,-0.39005759358406067,0,0,3.125,0.5273576378822327
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.06194499135017395,0.2102692723274231,0.10818056727293879,10.125,0.17099700961261988,0.34245437383651733,0,-0.06194499135017395,0,0,10.125,0.10818056727293879
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.09304202347993851,0.035895511507987976,0.444473072886467,0.75,0.2531120702624321,0.29894933104515076,0,-0.09304202347993851,0,0,0.75,0.444473072886467
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.1922791339457035,0.2859191596508026,0.1618255281355232,8.875,0.15906383097171783,0.25263115763664246,0,0.1922791339457035,0,0,8.875,0.1618255281355232
Qwen2.5-7B-Instruct,0,mmlu,,0,1,0.14911662740632892,0.2833690643310547,0.29317423701286316,2.25,0.21412258595228195,0.34696802496910095,0,0.14911662740632892,0,0,2.25,0.29317423701286316
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.29089394211769104,0.2594382166862488,0.46784746646881104,2.0,0.158927321434021,0.1937178522348404,0,-0.29089394211769104,0,0,2.0,0.46784746646881104
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.4447283074259758,0.045193567872047424,0.02534016030767816,14.25,-0.004469415172934532,0.01632276177406311,0,-0.4447283074259758,0,0,14.25,0.02534016030767816
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.2562292981892824,0.044030871242284775,0.20534429140388966,7.75,0.28426703810691833,0.4384426772594452,0,-0.2562292981892824,0,0,7.75,0.20534429140388966
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.1374254897236824,0.14613106846809387,0.1259967079386115,6.375,0.2470356971025467,0.31790947914123535,0,0.1374254897236824,0,0,6.375,0.1259967079386115
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.7691878080368042,-0.6306198835372925,1.0183090567588806,1.0,0.34557848423719406,0.48280221223831177,0,-0.7691878080368042,0,0,1.0,1.0183090567588806
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.22045503929257393,-0.08183301240205765,0.3876593046588823,8.25,0.14071182161569595,0.15377625823020935,0,-0.22045503929257393,0,0,8.25,0.3876593046588823
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.001989588141441345,0.2573740780353546,0.34871016442775726,4.0,0.3653178084641695,0.676738440990448,0,0.001989588141441345,0,0,4.0,0.34871016442775726
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.17792561650276184,0.214809387922287,0.49353983311448246,9.625,0.27180569991469383,0.45115751028060913,0,0.17792561650276184,0,0,9.625,0.49353983311448246
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.02764672040939331,0.2737019658088684,0.20060947648016736,10.125,0.29499805346131325,0.5739613175392151,0,-0.02764672040939331,0,0,10.125,0.20060947648016736
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.2953210473060608,-0.16193968057632446,0.2926602102816105,4.25,0.1394176110625267,0.16684652864933014,0,-0.2953210473060608,0,0,4.25,0.2926602102816105
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.07890503108501434,0.2636605501174927,0.03751300723524764,10.375,0.3093666806817055,0.42155250906944275,0,-0.07890503108501434,0,0,10.375,0.03751300723524764
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.35892658680677414,0.10486908257007599,0.8337772488594055,1.5,0.13029249012470245,0.16811925172805786,0,-0.35892658680677414,0,0,1.5,0.8337772488594055
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.1755029857158661,0.2856752276420593,0.35240853568393504,12.25,0.19611503183841705,0.27384984493255615,0,0.1755029857158661,0,0,12.25,0.35240853568393504
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.9284670650959015,-0.23414331674575806,0.011430287617258728,9.75,0.1873636469244957,0.20816344022750854,0,-0.9284670650959015,0,0,9.75,0.011430287617258728
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.037688201293349266,-0.006842900067567825,0.2186118216509385,14.75,0.25525853782892227,0.3661501407623291,0,-0.037688201293349266,0,0,14.75,0.2186118216509385
Qwen2.5-7B-Instruct,0,mmlu,,0,1,-0.17194471322000027,0.02661045268177986,0.3404809385538101,0.75,0.18509125709533691,0.2879846692085266,0,-0.17194471322000027,0,0,0.75,0.3404809385538101
