model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy,option_logits_logged,logit_A_sp,logit_B_sp,logit_C_sp,logit_D_sp,logit_A,logit_D,logit_C,logit_B
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,0,0,1,-0.603683352470398,2.2470359802246094,1.1587244272232056,1.25,0.15195646788924932,0.3342830240726471,0,-0.603683352470398,0,0,0.0,0.0,True,22.0,22.125,23.375,19.625,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,1,0,1,-8.268607139587402,-5.469046592712402,1.134468287229538,3.75,-0.37022492103278637,0.044293228536844254,0,-8.268607139587402,0,0,0.0,0.0,True,23.5,18.625,19.75,19.75,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,2,0,1,-7.807509183883667,-6.549828052520752,1.6182582378387451,0.875,0.10457798093557358,0.3035328686237335,0,-7.807509183883667,0,0,0.0,0.0,True,21.125,18.75,20.25,19.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,3,0,1,-5.946540832519531,-5.7515034675598145,0.9983995854854584,2.25,0.06962135434150696,0.6997759938240051,0,-5.946540832519531,0,0,0.0,0.0,True,23.25,19.5,21.0,20.375,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,4,0,0,-9.642492294311523,-4.576850891113281,1.6394943594932556,0.75,0.2950938418507576,0.7910638451576233,0,-9.642492294311523,0,0,0.0,0.0,True,21.75,19.5,18.875,21.0,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,5,0,1,-2.409602850675583,0.8504701256752014,1.2511822879314423,0.375,-0.11936662718653679,0.11510632187128067,0,-2.409602850675583,0,0,0.0,0.0,True,20.875,19.75,21.5,21.875,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,6,0,0,-9.943180322647095,-5.209221363067627,1.5209372639656067,0.625,0.43527658469974995,0.8164457082748413,0,-9.943180322647095,0,0,0.0,0.0,True,22.125,17.125,17.625,21.5,10.5,11.25,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,7,0,0,-10.117884874343872,-5.520157337188721,1.6150178909301758,0.125,-0.20742180943489075,0.1902632713317871,0,-10.117884874343872,0,0,0.0,0.0,True,21.375,16.5,21.25,19.125,,,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,8,0,1,-8.119426012039185,-5.588016986846924,1.4728949069976807,0.125,-0.2524210959672928,0.27690955996513367,0,-8.119426012039185,0,0,0.0,0.0,True,21.5,18.875,20.0,21.375,,10.125,,
DeepSeek-R1-Distill-Qwen-7B,0,mmlu,9,0,0,-9.602317810058594,-5.440851211547852,0.9204489290714264,4.25,0.16978806257247925,0.6397606134414673,0,-9.602317810058594,0,0,0.0,0.0,True,24.375,20.125,18.25,20.0,11.5625,,,
