model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Llama-3.1-8B-Instruct,0,mmlu,,1,1,2.431820869445801,4.863641738891602,0.015982882352545857,7.25,0.16356415301561356,0.20208165049552917,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,3.431199073791504,6.862398147583008,0.03706669248640537,5.875,0.1222502589225769,0.1589532196521759,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,2.3651952743530273,4.730390548706055,0.2920973263680935,3.0,0.10152174904942513,0.22192423045635223,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,3.930888295173645,5.076842308044434,0.4632975235581398,2.125,0.1646474227309227,0.17628136277198792,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.618371367454529,3.2646360397338867,0.0017689584929030389,8.875,0.06407716660760343,0.1330415904521942,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,4.01750111579895,5.116817474365234,0.2801523730158806,3.0,0.10357801057398319,0.1597408503293991,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,3.6577247381210327,4.637115478515625,0.4561243475181982,1.5,0.07940523885190487,0.11568763107061386,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.3985081911087036,2.7449593544006348,0.0014387565024662763,9.0,-0.0017113182693719864,0.056426290422677994,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,3.5044867992401123,4.343964576721191,0.48795190965756774,0.875,0.13105757161974907,0.15070302784442902,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,2.191969871520996,4.383939743041992,0.31708118331152946,2.25,0.06238517537713051,0.06855311989784241,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.65834641456604,2.771609306335449,0.015541092259809375,6.0,0.07512292079627514,0.1293560415506363,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,3.6377373933792114,4.437240123748779,0.012487269996199757,5.75,0.08872968703508377,0.12549124658107758,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,3.3512487411499023,6.702497482299805,0.5630705831572413,0.875,0.09459790587425232,0.1177869588136673,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.5250959396362305,5.050191879272461,0.12260355055332184,3.875,0.05028683319687843,0.05761227756738663,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.5450836420059204,2.851559638977051,0.038381443766411394,4.25,0.03943546675145626,0.07365068793296814,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,2.6783339977264404,3.0381102561950684,0.568070326000452,0.375,-0.1285233348608017,-0.10453979671001434,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.6910375356674194,4.357289791107178,0.07770200876984745,4.0,-0.0305238775908947,-0.021235264837741852,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.53779935836792,7.07559871673584,0.11780028487555683,3.75,0.015187375247478485,0.11747170239686966,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,2.1986324787139893,4.3972649574279785,0.13025158271193504,5.125,0.14220821857452393,0.14599832892417908,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.5650711059570312,5.1301422119140625,0.23334219463868067,1.875,0.1351015381515026,0.15520557761192322,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,3.6177494525909424,4.3572893142700195,0.6624471300747246,0.5,-0.02560694608837366,0.016994444653391838,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,2.551745891571045,5.10349178314209,0.17946914955973625,3.125,0.1357821822166443,0.13938112556934357,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,1.1859289407730103,2.3718578815460205,0.18444240116514266,2.5,0.0747287180274725,0.09244750440120697,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.398508071899414,4.797016143798828,0.008197048853617162,6.375,0.06463831290602684,0.0773690938949585,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,3.8775880336761475,4.836991310119629,0.4986596181988716,0.75,0.05714501440525055,0.05817494913935661,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,1.0660035610198975,2.132007122039795,0.6841045907349326,0.375,0.09721222706139088,0.15239490568637848,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,2.391845703125,4.78369140625,0.02912158367689699,4.875,0.04169829376041889,0.1311429738998413,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,3.6177496910095215,4.423914909362793,0.3457144797721412,0.75,0.0407551284879446,0.0493832603096962,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,2.4584708213806152,2.704984188079834,0.48531675653066486,0.625,0.08986019715666771,0.0912487804889679,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,2.438483238220215,4.87696647644043,0.5731468987651169,0.25,0.0775880515575409,0.0943225622177124,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.950875759124756,4.836991310119629,0.15420175017789006,3.625,0.013136662542819977,0.019451575353741646,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.5711121559143066,4.410590171813965,0.020994314923882484,5.25,0.12286833301186562,0.1558932662010193,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.7443376779556274,4.690415859222412,0.3059602825087495,1.625,0.04873967543244362,0.07888057082891464,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,2.345207929611206,4.690415859222412,0.6308676041226136,0.625,0.016129550989717245,0.021939534693956375,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.531136989593506,7.062273979187012,0.0037722766865044832,7.875,0.06557684671133757,0.1027018278837204,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,2.4584708213806152,4.9169416427612305,0.47691434985608794,1.0,0.0733821066096425,0.1575598269701004,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,5.276717782020569,7.768501281738281,0.5281035825610161,0.625,0.06547735631465912,0.2082829475402832,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,1.1659414768218994,2.331882953643799,0.3907741496223025,0.125,0.15063358843326569,0.227828711271286,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,3.870925784111023,4.903616905212402,0.06178040150552988,4.75,0.06223267689347267,0.14366447925567627,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,2.578396201133728,2.851559638977051,0.019626826280727983,6.125,0.04372670594602823,0.07669003307819366,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,3.8109627962112427,4.677090644836426,0.24422676861286163,4.625,0.10288671310991049,0.21410390734672546,0
