model,gamma,dataset,task,feature_group,auc,accuracy
Qwen2.5-7B-Instruct,0,mmlu,5A_Correctness,Baseline,0.8261904761904763,0.8099999999999999
Qwen2.5-7B-Instruct,0,mmlu,5A_Correctness,Real-U,0.8333333333333333,0.7799999999999999
Qwen2.5-7B-Instruct,0,mmlu,5A_Correctness,Rand-U,0.8333333333333336,0.7899999999999999
Qwen2.5-7B-Instruct,0,mmlu,5B_ReasoningDemand,Baseline,0.6521978021978022,0.0
Qwen2.5-7B-Instruct,0,mmlu,5B_ReasoningDemand,Real-U,0.6344322344322345,0.0
Qwen2.5-7B-Instruct,0,mmlu,5B_ReasoningDemand,Rand-U,0.6448717948717949,0.0
Qwen2.5-7B-Instruct,0,medqa,5A_Correctness,Baseline,0.6946666666666668,0.73
Qwen2.5-7B-Instruct,0,medqa,5A_Correctness,Real-U,0.6851428571428572,0.7
Qwen2.5-7B-Instruct,0,medqa,5A_Correctness,Rand-U,0.683047619047619,0.73
Qwen2.5-7B-Instruct,1,mmlu,5A_Correctness,Baseline,0.8285714285714288,0.8099999999999999
Qwen2.5-7B-Instruct,1,mmlu,5A_Correctness,Real-U,0.8333333333333333,0.76
Qwen2.5-7B-Instruct,1,mmlu,5A_Correctness,Rand-U,0.830952380952381,0.7899999999999999
Qwen2.5-7B-Instruct,1,mmlu,5B_ReasoningDemand,Baseline,0.6452380952380953,0.0
Qwen2.5-7B-Instruct,1,mmlu,5B_ReasoningDemand,Real-U,0.6371794871794872,0.0
Qwen2.5-7B-Instruct,1,mmlu,5B_ReasoningDemand,Rand-U,0.6357142857142858,0.0
Qwen2.5-7B-Instruct,1,medqa,5A_Correctness,Baseline,0.6970476190476191,0.72
Qwen2.5-7B-Instruct,1,medqa,5A_Correctness,Real-U,0.694952380952381,0.7100000000000001
Qwen2.5-7B-Instruct,1,medqa,5A_Correctness,Rand-U,0.6803809523809523,0.72
Qwen2.5-7B-Instruct,2,mmlu,5A_Correctness,Baseline,0.8285714285714288,0.8099999999999999
Qwen2.5-7B-Instruct,2,mmlu,5A_Correctness,Real-U,0.8333333333333333,0.76
Qwen2.5-7B-Instruct,2,mmlu,5A_Correctness,Rand-U,0.830952380952381,0.7899999999999999
Qwen2.5-7B-Instruct,2,mmlu,5B_ReasoningDemand,Baseline,0.6452380952380953,0.0
Qwen2.5-7B-Instruct,2,mmlu,5B_ReasoningDemand,Real-U,0.6371794871794872,0.0
Qwen2.5-7B-Instruct,2,mmlu,5B_ReasoningDemand,Rand-U,0.6357142857142858,0.0
Qwen2.5-7B-Instruct,2,medqa,5A_Correctness,Baseline,0.6970476190476191,0.72
Qwen2.5-7B-Instruct,2,medqa,5A_Correctness,Real-U,0.694952380952381,0.7100000000000001
Qwen2.5-7B-Instruct,2,medqa,5A_Correctness,Rand-U,0.6803809523809523,0.72
