model,gamma,dataset,task,feature_group,auc,accuracy
Qwen3-8B,0,mmlu,5A_Correctness,Baseline,0.8156190476190476,0.8
Qwen3-8B,0,mmlu,5A_Correctness,Real-U,0.8060952380952381,0.8099999999999999
Qwen3-8B,0,mmlu,5A_Correctness,Rand-U,0.8102857142857143,0.8
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Baseline,0.6622710622710621,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Real-U,0.6791208791208792,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6723443223443224,0.0
Qwen3-8B,0,medqa,5A_Correctness,Baseline,0.6516190476190478,0.71
Qwen3-8B,0,medqa,5A_Correctness,Real-U,0.6206666666666666,0.72
Qwen3-8B,0,medqa,5A_Correctness,Rand-U,0.6436190476190475,0.7
Qwen3-8B,1,mmlu,5A_Correctness,Baseline,0.818,0.8
Qwen3-8B,1,mmlu,5A_Correctness,Real-U,0.8084761904761905,0.8099999999999999
Qwen3-8B,1,mmlu,5A_Correctness,Rand-U,0.8153333333333335,0.8099999999999999
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Baseline,0.6437728937728937,0.0
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Real-U,0.680952380952381,0.0
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Rand-U,0.6697802197802198,0.0
Qwen3-8B,1,medqa,5A_Correctness,Baseline,0.6516190476190477,0.71
Qwen3-8B,1,medqa,5A_Correctness,Real-U,0.6126666666666666,0.7
Qwen3-8B,1,medqa,5A_Correctness,Rand-U,0.6486666666666666,0.7
Qwen3-8B,2,mmlu,5A_Correctness,Baseline,0.818,0.8
Qwen3-8B,2,mmlu,5A_Correctness,Real-U,0.8084761904761905,0.8099999999999999
Qwen3-8B,2,mmlu,5A_Correctness,Rand-U,0.8153333333333335,0.8099999999999999
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Baseline,0.6437728937728937,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Real-U,0.680952380952381,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Rand-U,0.6697802197802198,0.0
Qwen3-8B,2,medqa,5A_Correctness,Baseline,0.6516190476190477,0.71
Qwen3-8B,2,medqa,5A_Correctness,Real-U,0.6126666666666666,0.7
Qwen3-8B,2,medqa,5A_Correctness,Rand-U,0.6486666666666666,0.7
