dataset,id,gold,temperature,y_correct,marker_hit,refusal_detected,format_violation,choice_margin,answer_entropy,logit_A,logit_B,logit_C,logit_D
mmlu,0,A,0.6,1,0,0,0,0.36345380544662476,0.9513083696365356,23.375,21.5,20.0,22.5
mmlu,1,D,0.6,0,0,0,0,0.37654584646224976,0.8969323635101318,21.875,18.625,19.5,21.0
mmlu,2,A,0.6,0,0,0,0,0.1708577573299408,0.9321200847625732,22.125,21.75,18.375,20.0
mmlu,3,C,0.6,0,0,0,0,0.8618147373199463,0.4282246232032776,21.25,18.0,18.125,17.625
mmlu,4,C,0.6,1,0,0,0,0.49422213435173035,0.6976748108863831,21.25,18.375,22.375,18.625
mmlu,5,B,0.6,0,0,0,0,0.22837519645690918,0.9100936055183411,21.5,19.375,22.0,18.875
mmlu,6,B,0.6,0,0,0,0,0.5783700346946716,0.9366652965545654,22.0,19.875,20.25,20.0
mmlu,7,A,0.6,1,0,0,0,0.8494518399238586,0.3428558111190796,20.75,18.125,15.5,16.5
mmlu,8,B,0.6,0,0,0,0,0.7881688475608826,0.5093795657157898,22.5,20.125,18.75,19.125
mmlu,9,A,0.6,1,0,0,0,0.8812510371208191,0.34554314613342285,24.375,21.25,19.375,21.0
mmlu,10,D,0.6,0,0,0,0,0.23211699724197388,0.8581746816635132,22.0,17.875,19.375,21.5
mmlu,11,D,0.6,0,0,0,0,0.5859488248825073,0.7621259689331055,23.0,19.75,20.25,21.5
mmlu,12,C,0.6,0,0,0,0,0.6306387186050415,0.78157639503479,21.75,19.125,19.0,20.0
mmlu,13,D,0.6,1,0,0,0,0.3440907895565033,0.7805403470993042,22.875,17.5,20.0,22.125
mmlu,14,D,0.6,0,0,0,0,0.7429008483886719,0.6685020923614502,22.0,19.25,19.625,19.25
mmlu,15,B,0.6,1,0,0,0,0.22204020619392395,0.9556673765182495,20.75,21.25,17.75,19.25
mmlu,16,A,0.6,1,0,0,0,0.7202641367912292,0.48892924189567566,19.5,16.25,21.375,17.25
mmlu,17,A,0.6,1,0,0,0,0.9587171673774719,0.1514231562614441,23.0,18.5,17.125,18.75
mmlu,18,D,0.6,0,0,0,0,0.0,0.9805742502212524,21.625,19.75,18.5,21.625
mmlu,19,B,0.6,0,0,0,0,0.6201177835464478,0.7305567860603333,21.0,18.25,19.375,17.625
mmlu,20,D,0.6,1,0,0,0,0.9388454556465149,0.15196849405765533,19.875,15.9375,17.25,23.375
mmlu,21,D,0.6,0,0,0,0,0.49156850576400757,0.7098518013954163,19.75,18.625,15.1875,16.5
mmlu,22,A,0.6,0,0,0,0,0.6368849277496338,0.6521620750427246,20.125,17.5,21.75,18.75
mmlu,23,D,0.6,0,0,0,0,0.828187882900238,0.30574744939804077,24.0,17.5,16.625,21.625
mmlu,24,D,0.6,0,0,0,0,0.2618902325630188,0.9882497191429138,20.0,16.5,19.125,20.625
mmlu,25,D,0.6,0,0,0,0,0.09121841192245483,1.2376011610031128,20.75,21.5,21.25,19.75
mmlu,26,D,0.6,0,0,0,0,0.3010566234588623,0.6805917620658875,22.75,17.5,17.0,22.125
mmlu,27,A,0.6,1,0,0,0,0.43226271867752075,0.9871339201927185,22.75,20.0,21.625,21.0
mmlu,28,A,0.6,1,0,0,0,0.770876944065094,0.5544629096984863,21.5,17.0,19.125,18.875
mmlu,29,A,0.6,0,0,0,0,0.4918367862701416,0.9018208980560303,21.5,19.0,20.25,19.0
mmlu,30,D,0.6,0,0,0,0,0.21536830067634583,0.992064356803894,22.125,18.375,20.5,21.625
