dataset,id,gold,temperature,y_correct,marker_hit,refusal_detected,format_violation,choice_margin,answer_entropy,logit_A,logit_B,logit_C,logit_D
mmlu,0,A,0.6,1,0,0,0,0.2822627127170563,0.8938501477241516,28.25,27.625,25.625,25.0
mmlu,1,D,0.6,1,0,0,0,0.27292418479919434,1.1470178365707397,26.625,25.0,26.375,27.375
mmlu,2,A,0.6,0,0,0,0,0.1762656271457672,1.226386547088623,26.875,25.5,27.375,26.625
mmlu,3,C,0.6,1,0,0,0,0.5070159435272217,1.0202864408493042,24.0,24.25,25.75,23.75
mmlu,4,C,0.6,1,0,0,0,0.99641352891922,0.019527483731508255,21.875,22.5,29.25,21.875
mmlu,5,B,0.6,0,0,0,0,0.9473137259483337,0.15397483110427856,26.375,25.0,30.125,23.5
mmlu,6,B,0.6,0,0,0,0,0.23699459433555603,0.8064078688621521,24.25,27.25,27.75,24.0
mmlu,7,A,0.6,1,0,0,0,0.967891275882721,0.08446145802736282,32.25,28.125,24.125,21.125
mmlu,8,B,0.6,1,0,0,0,0.930298924446106,0.20255444943904877,26.75,30.25,25.375,24.875
mmlu,9,A,0.6,0,0,0,0,0.35158219933509827,1.1262911558151245,27.75,26.75,26.625,25.5
mmlu,10,D,0.6,1,0,0,0,0.9793274998664856,0.06503896415233612,25.875,22.25,23.625,30.5
mmlu,11,D,0.6,1,0,0,0,0.9922618269920349,0.028899796307086945,25.25,22.75,22.625,30.875
mmlu,12,C,0.6,0,0,0,0,0.22967076301574707,0.8937788605690002,28.375,27.875,25.75,25.0
mmlu,13,D,0.6,1,0,0,0,0.9997801184654236,0.001452193595468998,21.75,19.625,21.0,31.125
mmlu,14,D,0.6,1,0,0,0,0.03749704360961914,1.3525915145874023,26.125,26.625,26.875,26.75
mmlu,15,B,0.6,1,0,0,0,0.04399880766868591,1.2790542840957642,27.5,27.375,26.875,26.125
mmlu,16,A,0.6,0,0,0,0,0.6142656207084656,0.6121744513511658,27.375,23.0,28.875,25.625
mmlu,17,A,0.6,1,0,0,0,0.9899783134460449,0.03645630180835724,31.125,23.625,25.75,22.875
mmlu,18,D,0.6,1,0,0,0,0.9829211235046387,0.07731577754020691,25.0,24.5,24.625,30.25
mmlu,19,B,0.6,0,0,0,0,0.45978736877441406,0.8803685307502747,26.5,27.625,28.75,25.5
mmlu,20,D,0.6,1,0,0,0,0.9991563558578491,0.00581930298358202,23.875,24.0,24.125,32.5
mmlu,21,D,0.6,0,0,0,0,0.08099797368049622,1.3319990634918213,26.875,26.25,26.0,26.625
mmlu,22,A,0.6,0,0,0,0,0.7893177270889282,0.5800379514694214,25.875,25.25,28.5,25.75
mmlu,23,D,0.6,1,0,0,0,0.9879568815231323,0.0384301133453846,26.0,22.5,21.125,31.125
mmlu,24,D,0.6,1,0,0,0,0.9985083341598511,0.008272442035377026,23.125,21.25,23.625,31.125
mmlu,25,D,0.6,1,0,0,0,0.5944197177886963,0.5255364179611206,28.375,23.625,23.5,29.75
mmlu,26,D,0.6,1,0,0,0,0.9779342412948608,0.07481987029314041,25.625,24.0,23.125,30.25
mmlu,27,A,0.6,0,0,0,0,0.9973315000534058,0.016326408833265305,23.625,23.625,23.75,31.0
mmlu,28,A,0.6,0,0,0,0,0.9997783899307251,0.0016832093242555857,21.125,21.875,31.5,21.75
mmlu,29,A,0.6,0,0,0,0,0.3281377851963043,0.8945950269699097,28.125,27.375,26.0,24.0
mmlu,30,D,0.6,1,0,0,0,0.9724341630935669,0.08726973831653595,23.375,25.125,22.125,29.5
mmlu,31,D,0.6,0,0,0,0,0.0,1.3488926887512207,27.25,27.25,26.5,27.125
mmlu,32,B,0.6,1,0,0,0,0.9999347925186157,0.0005215734709054232,22.375,33.25,22.5,20.625
mmlu,33,B,0.6,1,0,0,0,0.9829585552215576,0.07602912932634354,26.0,31.25,26.0,24.75
mmlu,34,A,0.6,0,0,0,0,0.4182809889316559,1.0402884483337402,25.875,25.375,27.0,24.625
mmlu,35,A,0.6,1,0,0,0,0.3308859169483185,0.8583052754402161,29.0,26.875,28.25,23.125
mmlu,36,A,0.6,1,0,0,0,0.9149811863899231,0.18231523036956787,31.625,28.5,24.25,23.625
mmlu,37,C,0.6,1,0,0,0,0.9962177276611328,0.018147997558116913,21.375,23.0,29.5,21.875
mmlu,38,A,0.6,1,0,0,0,0.7311135530471802,0.41942915320396423,30.0,28.125,23.875,24.0
mmlu,39,B,0.6,1,0,0,0,0.7827235460281372,0.5710989832878113,25.5,28.0,24.625,25.125
mmlu,40,C,0.6,1,0,0,0,0.2930915951728821,0.7868508100509644,25.0,25.75,29.125,28.5
mmlu,41,C,0.6,1,0,0,0,0.9999883770942688,9.985543874790892e-05,21.25,21.625,34.0,18.625
mmlu,42,B,0.6,0,0,0,0,0.29238030314445496,1.1139637231826782,28.0,26.0,27.25,26.375
mmlu,43,B,0.6,1,0,0,0,0.7451507449150085,0.474183052778244,24.375,29.375,25.375,27.375
mmlu,44,A,0.6,1,0,0,0,0.8895095586776733,0.23717741668224335,29.875,23.75,23.75,27.0
mmlu,45,D,0.6,1,0,0,0,0.26707756519317627,1.183410882949829,25.375,26.375,26.625,27.375
mmlu,46,D,0.6,1,0,0,0,0.4592123031616211,0.8931369781494141,25.125,24.875,26.5,27.625
mmlu,47,C,0.6,1,0,0,0,0.9810970425605774,0.07836747169494629,23.375,23.625,29.375,24.375
mmlu,48,D,0.6,1,0,0,0,0.9903313517570496,0.04857959225773811,23.875,23.75,24.125,30.0
mmlu,49,A,0.6,1,0,0,0,0.9943423867225647,0.03150299936532974,30.25,23.75,23.5,23.75
mmlu,50,A,0.6,0,0,0,0,0.5733699798583984,0.8068128228187561,25.875,25.0,27.375,24.125
mmlu,51,D,0.6,1,0,0,0,0.9623913168907166,0.14330950379371643,25.25,24.25,25.5,29.875
mmlu,52,D,0.6,1,0,0,0,0.9977167844772339,0.010344225913286209,24.5,22.375,22.125,31.375
mmlu,53,B,0.6,1,0,0,0,0.9394330382347107,0.1481407880783081,24.75,31.25,23.875,27.75
mmlu,54,D,0.6,1,0,0,0,0.36248236894607544,0.978143572807312,27.375,25.25,24.75,26.5
mmlu,55,C,0.6,0,0,0,0,0.17337507009506226,0.9142664074897766,29.0,29.375,26.75,26.25
mmlu,56,C,0.6,0,0,0,0,0.3105661869049072,1.091671109199524,26.125,23.875,26.125,27.0
mmlu,57,D,0.6,1,0,0,0,0.9920372366905212,0.04191875085234642,26.125,25.875,26.0,32.25
mmlu,58,B,0.6,1,0,0,0,0.9997178316116333,0.0018265757244080305,23.75,33.75,24.625,22.875
mmlu,59,C,0.6,0,0,0,0,0.8874690532684326,0.2842186987400055,25.125,29.0,20.25,26.0
mmlu,60,C,0.6,1,0,0,0,0.9995840191841125,0.00261277356185019,21.125,21.875,30.625,20.0
mmlu,61,C,0.6,1,0,0,0,0.9998250007629395,0.0012756158830597997,22.625,22.75,32.5,20.625
mmlu,62,B,0.6,1,0,0,0,0.9993825554847717,0.004014555364847183,25.125,33.75,23.375,25.25
mmlu,63,A,0.6,1,0,0,0,0.5804005265235901,0.6313265562057495,28.25,24.25,24.125,26.875
mmlu,64,D,0.6,0,0,0,0,0.9466034770011902,0.19112905859947205,25.625,24.75,29.625,25.125
mmlu,65,C,0.6,1,0,0,0,0.9773029088973999,0.10400154441595078,24.375,24.5,29.625,24.5
mmlu,66,C,0.6,0,0,0,0,0.3552491068840027,0.6777206659317017,28.25,27.5,23.0,23.375
mmlu,67,D,0.6,1,0,0,0,0.9795522689819336,0.07357963919639587,25.375,26.625,24.375,31.375
mmlu,68,A,0.6,0,0,0,0,0.15453332662582397,1.083022952079773,27.0,28.25,27.875,25.25
mmlu,69,C,0.6,1,0,0,0,0.9916698932647705,0.03311831131577492,23.0,24.25,29.875,20.875
mmlu,70,D,0.6,1,0,0,0,0.95103520154953,0.13162164390087128,27.125,25.0,23.125,30.875
mmlu,71,D,0.6,1,0,0,0,0.9996288418769836,0.002366733970120549,22.125,21.5,20.0,31.0
mmlu,72,C,0.6,1,0,0,0,0.23271149396896362,0.8338595032691956,26.125,28.625,28.125,22.5
