dataset,id,gold,temperature,y_correct,marker_hit,refusal_detected,format_violation,choice_margin,answer_entropy,logit_A,logit_B,logit_C,logit_D
mmlu,0,A,0.6,1,0,0,0,0.9999828338623047,0.00012155008153058589,43.5,31.75,28.875,29.625
mmlu,1,D,0.6,1,0,0,0,0.9969887137413025,0.011377546004951,34.25,27.625,28.875,40.75
mmlu,2,A,0.6,0,0,0,0,0.9709967374801636,0.09492406994104385,30.75,36.25,27.875,31.875
mmlu,3,C,0.6,1,0,0,0,0.9852979183197021,0.061236001551151276,32.25,32.0,37.5,29.25
mmlu,4,C,0.6,1,0,0,0,0.9999992847442627,6.090450824558502e-06,28.625,26.125,43.5,24.5
mmlu,5,B,0.6,0,0,0,0,0.9865585565567017,0.040823135524988174,35.75,30.0,40.75,30.5
mmlu,6,B,0.6,1,0,0,0,0.9997465014457703,0.0017785819945856929,28.625,38.0,28.5,26.375
mmlu,7,A,0.6,1,0,0,0,0.9999902248382568,6.847003533039242e-05,45.25,33.0,28.375,30.125
mmlu,8,B,0.6,1,0,0,0,0.9717792868614197,0.07491894066333771,33.75,38.0,28.75,24.5
mmlu,9,A,0.6,0,0,0,0,0.9950348138809204,0.02680131420493126,32.0,31.375,38.5,31.75
mmlu,10,D,0.6,1,0,0,0,0.9718706011772156,0.07396531105041504,38.25,27.25,29.375,42.5
mmlu,11,D,0.6,1,0,0,0,0.9233264923095703,0.17490795254707336,33.75,30.875,27.625,37.0
mmlu,12,C,0.6,0,0,0,0,0.9934245944023132,0.023595573380589485,31.375,26.5,34.0,39.75
mmlu,13,D,0.6,1,0,0,0,0.9999978542327881,1.6082021829788573e-05,30.5,24.25,26.375,44.25
mmlu,14,D,0.6,1,0,0,0,0.9845653772354126,0.06272401660680771,28.625,28.25,29.625,34.75
mmlu,15,B,0.6,1,0,0,0,0.9811845421791077,0.06264220923185349,30.25,35.0,27.125,28.375
mmlu,16,A,0.6,1,0,0,0,0.991855800151825,0.02652159333229065,43.75,38.25,30.875,30.375
mmlu,17,A,0.6,1,0,0,0,0.999999463558197,6.335779744404135e-06,47.0,31.125,31.375,30.75
mmlu,18,D,0.6,1,0,0,0,0.9949307441711426,0.018631864339113235,30.125,33.5,29.375,39.5
mmlu,19,B,0.6,1,0,0,0,0.9995940327644348,0.0022494595032185316,31.125,39.75,29.75,26.375
mmlu,20,D,0.6,1,0,0,0,0.9998441934585571,0.0009918475989252329,27.5,26.625,28.875,38.5
mmlu,21,D,0.6,0,0,0,0,0.36293208599090576,0.9947973489761353,33.25,32.25,28.125,32.25
mmlu,22,A,0.6,0,0,0,0,0.998887836933136,0.004787225276231766,35.0,30.25,42.5,29.25
mmlu,23,D,0.6,1,0,0,0,0.9998462200164795,0.0008430838352069259,32.0,28.875,27.5,41.5
mmlu,24,D,0.6,1,0,0,0,0.9999939799308777,4.931209696223959e-05,30.125,26.625,29.0,43.0
mmlu,25,D,0.6,1,0,0,0,0.998166024684906,0.007437552325427532,32.25,27.875,24.625,39.25
mmlu,26,D,0.6,1,0,0,0,0.9988928437232971,0.004722068551927805,34.75,28.75,26.875,42.25
mmlu,27,A,0.6,1,0,0,0,0.2257557511329651,0.9395197629928589,34.5,31.875,31.75,34.0
