dataset,id,gold,temperature,y_correct,marker_hit,refusal_detected,format_violation,choice_margin,answer_entropy,logit_A,logit_B,logit_C,logit_D
mmlu,0,A,0.6,1,0,0,0,0.9998410940170288,0.0010248286416754127,37.75,28.125,25.625,27.0
mmlu,1,D,0.6,1,0,0,0,0.7615524530410767,0.36593714356422424,31.75,23.75,22.75,33.75
mmlu,2,A,0.6,1,0,0,0,0.8776233792304993,0.3466528058052063,33.75,30.625,27.25,30.625
mmlu,3,C,0.6,1,0,0,0,0.9999855160713196,0.00012341974070295691,26.75,25.5,39.5,27.375
mmlu,4,C,0.6,1,0,0,0,0.998835563659668,0.005368517711758614,27.75,24.375,35.25,25.125
mmlu,5,B,0.6,0,0,0,0,0.9959666728973389,0.015829728916287422,27.25,24.25,33.5,24.125
mmlu,6,B,0.6,1,0,0,0,0.35788261890411377,0.6375910639762878,33.25,34.0,27.375,26.625
mmlu,7,A,0.6,1,0,0,0,0.999872624874115,0.0008607721538282931,36.25,26.375,25.0,24.875
mmlu,8,B,0.6,1,0,0,0,0.9989243149757385,0.005840352736413479,26.75,34.5,26.0,23.125
mmlu,9,A,0.6,1,0,0,0,0.9954162836074829,0.025470931082963943,33.75,26.75,26.875,27.125
mmlu,10,D,0.6,1,0,0,0,0.9988935589790344,0.004712424706667662,31.5,24.0,24.625,39.0
mmlu,11,D,0.6,1,0,0,0,0.9961181879043579,0.014308631420135498,30.5,26.125,24.375,36.75
mmlu,12,C,0.6,0,0,0,0,0.9746150374412537,0.10897891223430634,29.875,34.75,29.375,29.625
mmlu,13,D,0.6,1,0,0,0,0.9999732971191406,0.00017024925909936428,27.0,23.875,22.375,38.25
mmlu,14,D,0.6,1,0,0,0,0.5799989104270935,0.7815535068511963,27.625,29.5,28.5,31.0
mmlu,15,B,0.6,0,0,0,0,0.7001630067825317,0.4536621570587158,27.0,30.75,26.375,32.5
mmlu,16,A,0.6,1,0,0,0,0.9999371767044067,0.0005008651060052216,33.0,21.125,21.75,22.25
mmlu,17,A,0.6,1,0,0,0,0.9999964237213135,3.627377373049967e-05,39.75,26.125,25.75,25.0
mmlu,18,D,0.6,1,0,0,0,0.9849348664283752,0.05384160578250885,30.125,32.25,30.25,37.25
mmlu,19,B,0.6,1,0,0,0,0.992423415184021,0.027437524870038033,31.625,37.25,27.5,29.25
mmlu,20,D,0.6,1,0,0,0,0.9998440742492676,0.0008691897965036333,25.25,24.0,28.0,37.5
mmlu,21,D,0.6,1,0,0,0,0.6823837161064148,0.7241497039794922,31.25,30.875,30.0,33.25
mmlu,22,A,0.6,0,0,0,0,0.994366466999054,0.019642768427729607,30.375,25.0,36.25,25.375
mmlu,23,D,0.6,1,0,0,0,0.87980717420578,0.22747477889060974,31.25,22.125,23.0,34.0
mmlu,24,D,0.6,1,0,0,0,0.99998539686203,0.00010082194785354659,25.125,22.5,21.625,37.0
mmlu,25,D,0.6,1,0,0,0,0.9954311847686768,0.017499616369605064,31.375,29.0,24.0,37.5
mmlu,26,D,0.6,1,0,0,0,0.998889148235321,0.004771346226334572,29.25,24.25,23.375,36.75
mmlu,27,A,0.6,0,0,0,0,0.5070391893386841,0.5892584323883057,26.375,23.875,30.25,31.375
mmlu,28,A,0.6,0,0,0,0,0.9998257756233215,0.0009424806921742857,26.375,22.125,35.75,23.125
mmlu,29,A,0.6,1,0,0,0,0.9902117252349854,0.03434052690863609,34.5,29.125,27.0,23.875
mmlu,30,D,0.6,0,0,0,0,0.6704696416854858,0.4532855749130249,25.875,33.25,25.0,31.625
mmlu,31,D,0.6,0,0,0,0,0.20026233792304993,1.1273709535598755,31.375,31.875,29.625,30.5
mmlu,32,B,0.6,1,0,0,0,0.999824583530426,0.0009584294748492539,25.125,34.5,22.0,21.375
mmlu,33,B,0.6,1,0,0,0,0.9948906302452087,0.02215157262980938,27.875,34.0,26.375,25.75
mmlu,34,A,0.6,1,0,0,0,0.5079904198646545,0.5802706480026245,33.0,27.5,31.875,25.75
mmlu,35,A,0.6,1,0,0,0,0.40557098388671875,0.6739504933357239,30.875,30.0,27.0,22.375
mmlu,36,A,0.6,0,0,0,0,0.7865921854972839,0.3399336338043213,31.125,33.25,22.375,22.375
mmlu,37,C,0.6,1,0,0,0,0.9999561309814453,0.000304653134662658,29.375,25.875,40.25,28.125
mmlu,38,A,0.6,0,0,0,0,0.0,0.938632071018219,30.375,30.375,28.25,27.0
mmlu,39,B,0.6,1,0,0,0,0.6912057995796204,0.7516915798187256,29.0,31.5,29.375,28.875
mmlu,40,C,0.6,1,0,0,0,0.9996086955070496,0.0021078232675790787,27.75,26.0,38.25,29.625
mmlu,41,C,0.6,1,0,0,0,0.9999844431877136,0.00011412597086746246,23.375,20.875,35.25,21.5
mmlu,42,B,0.6,0,0,0,0,0.967288076877594,0.08937378227710724,31.375,28.375,26.625,35.5
mmlu,43,B,0.6,1,0,0,0,0.9865918755531311,0.04045724868774414,23.5,35.5,24.5,30.5
mmlu,44,A,0.6,1,0,0,0,0.9965437650680542,0.01317586749792099,35.0,24.5,24.5,28.625
mmlu,45,D,0.6,1,0,0,0,0.9778608083724976,0.062231916934251785,33.25,28.25,28.5,37.75
mmlu,46,D,0.6,1,0,0,0,0.9761035442352295,0.07567905634641647,26.375,27.5,29.5,34.0
mmlu,47,C,0.6,1,0,0,0,0.9983181357383728,0.008466086350381374,26.875,26.75,35.75,28.5
mmlu,48,D,0.6,1,0,0,0,0.9998964667320251,0.0005694839637726545,27.875,23.0,22.5,37.75
mmlu,49,A,0.6,1,0,0,0,0.9996835589408875,0.002313090953975916,35.0,25.375,25.75,25.25
mmlu,50,A,0.6,1,0,0,0,0.9416254162788391,0.18065495789051056,33.75,29.375,30.0,26.75
mmlu,51,D,0.6,1,0,0,0,0.9988442659378052,0.005270587280392647,31.0,27.0,28.375,38.5
mmlu,52,D,0.6,1,0,0,0,0.9999520778656006,0.00038202127325348556,23.5,23.25,21.125,34.5
mmlu,53,B,0.6,1,0,0,0,0.9998956918716431,0.0006695777992717922,29.25,39.25,26.125,27.875
mmlu,54,D,0.6,1,0,0,0,0.6323501467704773,0.5037125945091248,32.5,28.5,27.375,34.0
mmlu,55,C,0.6,0,0,0,0,0.35064491629600525,0.7232072949409485,35.5,36.25,30.125,32.75
mmlu,56,C,0.6,0,0,0,0,0.8050811886787415,0.3491666316986084,30.125,29.625,35.75,33.5
mmlu,57,D,0.6,1,0,0,0,0.9993270635604858,0.0030515778344124556,35.5,29.75,29.875,43.5
mmlu,58,B,0.6,0,0,0,0,0.6632648706436157,0.5122540593147278,33.5,31.875,28.25,28.75
mmlu,59,C,0.6,0,0,0,0,0.990337610244751,0.04275333881378174,26.625,33.0,27.375,25.875
mmlu,60,C,0.6,1,0,0,0,0.9995388984680176,0.0025547922123223543,26.25,24.5,34.75,23.875
mmlu,61,C,0.6,1,0,0,0,0.9997358322143555,0.0014482204569503665,26.5,22.625,35.5,24.375
mmlu,62,B,0.6,1,0,0,0,0.9999940991401672,4.307087874622084e-05,28.0,40.75,23.5,25.125
mmlu,63,A,0.6,1,0,0,0,0.9987949132919312,0.005756501108407974,35.75,24.625,28.25,26.375
mmlu,64,D,0.6,0,0,0,0,0.9983802437782288,0.006684207357466221,26.25,25.5,38.0,30.875
mmlu,65,C,0.6,1,0,0,0,0.9948921203613281,0.02448282018303871,25.0,26.0,32.25,24.75
mmlu,66,C,0.6,0,0,0,0,0.8294073343276978,0.295301616191864,31.875,34.25,26.375,25.375
mmlu,67,D,0.6,1,0,0,0,0.9970525503158569,0.012834123335778713,27.625,29.125,22.875,35.75
mmlu,68,A,0.6,0,0,0,0,0.7001819610595703,0.45110398530960083,32.25,34.0,25.875,28.875
mmlu,69,C,0.6,1,0,0,0,0.9992197751998901,0.0036255111917853355,25.875,22.25,33.75,22.25
mmlu,70,D,0.6,1,0,0,0,0.9412989616394043,0.13320724666118622,30.5,24.5,22.375,34.0
mmlu,71,D,0.6,1,0,0,0,0.9999354481697083,0.0003872167144436389,24.875,21.75,21.25,35.25
mmlu,72,C,0.6,0,0,0,0,0.981235682964325,0.08094291388988495,27.125,32.25,27.125,25.5
mmlu,73,C,0.6,1,0,0,0,0.9990869164466858,0.00436515873298049,26.5,24.0,34.25,23.25
mmlu,74,B,0.6,0,0,0,0,0.9702950716018677,0.11125706136226654,33.75,27.875,28.5,29.25
mmlu,75,D,0.6,1,0,0,0,0.3581963777542114,0.6313190460205078,26.0,24.375,32.75,33.5
mmlu,76,B,0.6,0,0,0,0,0.9034343957901001,0.2053205370903015,31.75,35.25,30.625,38.25
mmlu,77,A,0.6,1,0,0,0,0.9999157786369324,0.0005692526465281844,38.25,28.0,26.75,25.625
mmlu,78,B,0.6,1,0,0,0,0.999896228313446,0.0005719608161598444,29.125,39.0,24.375,24.125
