model,seed,N,gamma,condition,temperature,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,marker_hit_rate,match_target
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,proj,0.6,0.397,0.7722401954082365,0.5135751419563583,0.015,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,tempmatch,0.6,0.372,0.772565752186853,0.5137519041646961,0.009,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,2.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,2.0,proj,0.6,0.389,0.7879857656925434,0.5013385285652564,0.011,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,2.0,tempmatch,2.0,0.585,0.779977754894644,0.5226440450549126,0.155,0.057,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,5.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,5.0,proj,0.6,0.399,0.8105659838522499,0.4835588235501667,0.005,0.001,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,5.0,tempmatch,2.0,0.585,0.779977754894644,0.5226440450549126,0.155,0.057,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,10.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,10.0,proj,0.6,0.407,0.842279848152132,0.4562458105587887,0.007,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,10.0,tempmatch,2.0,0.585,0.779977754894644,0.5226440450549126,0.155,0.057,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,0.2,0.374,0.7729994201778858,0.5129941783711045,0.002,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,0.4,0.381,0.7749307533089023,0.5106391678064494,0.003,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,0.6,0.372,0.772565752186853,0.5137519041646961,0.009,0.0,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,0.8,0.401,0.77545650494424,0.5118271006860153,0.022,0.001,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,1.0,0.4,0.7657280609248676,0.5155092706517862,0.081,0.002,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,1.2,0.386,0.770155279437697,0.5108964524898433,0.136,0.012,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,1.5,0.404,0.7492404864060813,0.5325901377491835,0.214,0.027,entropy
DeepSeek-R1-Distill-Qwen-7B,0,500,0.0,base_tempgrid,2.0,0.585,0.779977754894644,0.5226440450549126,0.155,0.057,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,proj,0.6,0.658,0.5227413353828306,0.665098273396492,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,tempmatch,0.8,0.638,0.5227096586635889,0.6652219497859478,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,2.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,entropy
