model,gamma,condition,temperature,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,format_violation_rate,refusal_rate,marker_hit_rate,N
DeepSeek-R1-Distill-Qwen-7B,0.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,0.0,0.0,500
DeepSeek-R1-Distill-Qwen-7B,0.0,proj,0.6,0.397,0.7722401954082365,0.5135751419563583,0.015,,,0.0,500
DeepSeek-R1-Distill-Qwen-7B,0.0,tempmatch_exact,0.9979991316795348,0.3468149602413177,0.7720422744750977,0.5115019679069519,0.0,0.0,0.0,0.0,500
DeepSeek-R1-Distill-Qwen-7B,2.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,0.0,0.0,500
DeepSeek-R1-Distill-Qwen-7B,2.0,proj,0.6,0.389,0.7879857656925434,0.5013385285652564,0.011,,,0.0,500
DeepSeek-R1-Distill-Qwen-7B,2.0,tempmatch_exact,1.0239999294281006,0.3468149602413177,0.7882075905799866,0.5018305778503418,0.0,0.0,0.0,0.0,500
DeepSeek-R1-Distill-Qwen-7B,5.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,0.0,0.0,500
DeepSeek-R1-Distill-Qwen-7B,5.0,proj,0.6,0.399,0.8105659838522499,0.4835588235501667,0.005,,,0.001,500
DeepSeek-R1-Distill-Qwen-7B,5.0,tempmatch_exact,1.0609997510910034,0.3468149602413177,0.8104320764541626,0.4884593486785888,0.0,0.0,0.0,0.0,500
DeepSeek-R1-Distill-Qwen-7B,10.0,base,0.6,0.381,0.7733024175931428,0.510749542933142,0.009,0.0,0.0,0.0,500
DeepSeek-R1-Distill-Qwen-7B,10.0,proj,0.6,0.407,0.842279848152132,0.4562458105587887,0.007,,,0.0,500
DeepSeek-R1-Distill-Qwen-7B,10.0,tempmatch_exact,1.1169995069503784,0.3468149602413177,0.8423677086830139,0.4690787196159363,0.0,0.0,0.0,0.0,500
Llama-3.1-8B-Instruct,0.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,0.0,0.0,500
Llama-3.1-8B-Instruct,0.0,proj,0.6,0.658,0.5227413353828306,0.665098273396492,0.0,,,0.0,500
Llama-3.1-8B-Instruct,0.0,tempmatch_exact,0.9999991059303284,0.6790000200271606,0.5227678418159485,0.6651425957679749,0.0,0.0,0.0,0.0,500
Llama-3.1-8B-Instruct,2.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,0.0,0.0,500
