model,seed,N,gamma,condition,temperature,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,marker_hit_rate,match_target
Llama-3.1-8B-Instruct,0,500,0.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,proj,0.6,0.658,0.5227413353828306,0.665098273396492,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,tempmatch,0.8,0.638,0.5227096586635889,0.6652219497859478,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,2.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,2.0,proj,0.6,0.667,0.5227305695332907,0.6651570321172475,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,2.0,tempmatch,0.8,0.638,0.5227096586635889,0.6652219497859478,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,5.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,5.0,proj,0.6,0.671,0.5232751109821984,0.6648019138723612,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,5.0,tempmatch,0.2,0.687,0.5229385234290385,0.6641097049415111,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,10.0,base,0.6,0.667,0.5227682291313468,0.665142358392477,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,10.0,proj,0.6,0.684,0.523502332819815,0.6646331075280905,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,10.0,tempmatch,0.2,0.687,0.5229385234290385,0.6641097049415111,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,0.2,0.687,0.5229385234290385,0.6641097049415111,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,0.4,0.69,0.5223817773637857,0.6653917755633593,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,0.6,0.649,0.5225494248539617,0.665744502082467,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,0.8,0.638,0.5227096586635889,0.6652219497859478,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,1.0,0.636,0.5218538641606979,0.665519399760483,0.001,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,1.2,0.644,0.5224555603001864,0.6650626401752233,0.0,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,1.5,0.719,0.5215678798031296,0.6660911187858706,0.002,0.0,entropy
Llama-3.1-8B-Instruct,0,500,0.0,base_tempgrid,2.0,0.848,0.5049852231354,0.6782732762447484,0.007,0.0,entropy
