model,seed,N,gamma,condition,temperature,accuracy_mean,entropy_mean,margin_mean,strict_fail_rate,marker_hit_rate,match_target
Qwen2.5-7B-Instruct,0,500,0.0,base,0.6,0.675,0.18045128753402226,0.8709554896354675,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,proj,0.6,0.682,0.18029918575776038,0.8714620854854583,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,tempmatch,0.2,0.674,0.1803289330895666,0.8709721746742726,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,2.0,base,0.6,0.675,0.18045128753402226,0.8709554896354675,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,2.0,proj,0.6,0.68,0.18091445193159103,0.8706615732908249,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,2.0,tempmatch,1.5,0.662,0.18111465497367188,0.8700576321184635,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,5.0,base,0.6,0.675,0.18045128753402226,0.8709554896354675,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,5.0,proj,0.6,0.688,0.18054100099229395,0.8699190894067288,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,5.0,tempmatch,1.0,0.668,0.18052543349068678,0.8710619975924492,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,10.0,base,0.6,0.675,0.18045128753402226,0.8709554896354675,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,10.0,proj,0.6,0.679,0.18064066127402958,0.8685923191457987,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,10.0,tempmatch,1.2,0.677,0.1806290535388423,0.8702560014426708,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.2,0.674,0.1803289330895666,0.8709721746742726,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.4,0.681,0.18047017139733498,0.870729111135006,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.6,0.672,0.17998376483813638,0.8710859509706497,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,0.8,0.685,0.18051493269098584,0.870378623753786,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,1.0,0.668,0.18052543349068678,0.8710619975924492,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,1.2,0.677,0.1806290535388423,0.8702560014426708,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,1.5,0.662,0.18111465497367188,0.8700576321184635,0.0,0.0,entropy
Qwen2.5-7B-Instruct,0,500,0.0,base_tempgrid,2.0,0.764,0.18003724646792474,0.8706564699993689,0.003,0.0,entropy
