model,match_target,ref_k,match_k,g_ref,g_match,match_error,acc_ref,acc_match,entropy_ref,entropy_match,margin_ref,margin_match,strict_fail_rate_ref,strict_fail_rate_match,format_violation_rate_ref,format_violation_rate_match,refusal_rate_ref,refusal_rate_match,marker_hit_rate_ref,marker_hit_rate_match
DeepSeek-R1-Distill-Qwen-7B,margin,1,4,0.0,0.0,0.0,0.347,0.347,0.7738327820662898,0.7738327820662898,1.53125,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,margin,1,4,2.0,0.0,7.192086900528521,0.262,0.347,0.0644505230113737,0.7738327820662898,8.72333690052852,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,margin,1,4,5.0,0.0,22.033152401303877,0.252,0.347,0.003393521030536,0.7738327820662898,23.564402401303877,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,margin,1,4,10.0,0.0,46.28866139378771,0.251,0.347,0.0015837576529894,0.7738327820662898,47.81991139378771,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,margin,4,1,0.0,0.0,0.0,0.347,0.347,0.7738327820662898,0.7738327820662898,1.53125,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,margin,4,1,2.0,0.0,0.1190326399803161,0.358,0.347,0.8276884999832245,0.7738327820662898,1.412217360019684,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,margin,4,1,5.0,0.0,0.2809233944416043,0.375,0.347,0.888541077954594,0.7738327820662898,1.2503266055583957,1.53125,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,margin,4,1,10.0,0.0,0.29901957845687877,0.359,0.347,0.8859316191565654,0.7738327820662898,1.2322304215431212,1.53125,,,,,,,,
Llama-3.1-8B-Instruct,margin,1,4,0.0,0.0,0.0,0.68,0.68,0.5227143441450304,0.5227143441450304,3.2035,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,margin,1,4,2.0,0.76,0.0004167307835447609,0.635,0.68342,0.4704815473038793,0.5393011659899677,3.0968994845980777,3.0973162153816225,,,,,,,,
Llama-3.1-8B-Instruct,margin,1,4,5.0,1.0,0.00025130175193766036,0.561,0.6845,0.3921153034012836,0.5445391097304741,3.0635331921712496,3.0637844939231873,,,,,,,,
Llama-3.1-8B-Instruct,margin,1,4,10.0,0.0,0.014868606437929088,0.491,0.68,0.3223827972348322,0.5227143441450304,3.218368606437929,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,margin,4,1,0.0,0.0,0.0,0.68,0.68,0.5227143441450304,0.5227143441450304,3.2035,3.2035,,,,,,,,
Llama-3.1-8B-Instruct,margin,4,1,2.0,5.0,0.13946420432487505,0.689,0.561,0.5663638753159179,0.3921153034012836,2.9240689878463746,3.0635331921712496,,,,,,,,
Llama-3.1-8B-Instruct,margin,4,1,5.0,5.0,0.7858989949361419,0.677,0.561,0.6475094960908565,0.3921153034012836,2.2776341972351077,3.0635331921712496,,,,,,,,
Llama-3.1-8B-Instruct,margin,4,1,10.0,5.0,1.6335753131047825,0.482,0.561,0.6944740565143472,0.3921153034012836,1.429957879066467,3.0635331921712496,,,,,,,,
Qwen2.5-7B-Instruct,margin,1,4,0.0,0.0,0.0,0.68,0.68,0.1807719765936137,0.1807719765936137,6.75975,6.75975,,,,,,,,
