model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.33102500438690186,0.3343062996864319,0.015982882352545857,7.25,0.16356415301561356,0.20208165049552917,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.17750272154808044,0.28451719880104065,0.03706669248640537,5.875,0.1222502589225769,0.1589532196521759,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.03481272608041763,0.21617425978183746,0.2920973263680935,3.0,0.10152174904942513,0.22192423045635223,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.186972850933671,0.3384192883968353,0.4632975235581398,2.125,0.1646474227309227,0.17628136277198792,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.26924215257167816,0.4136611223220825,0.0017689584929030389,8.875,0.06407716660760343,0.1330415904521942,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,0.06893151625990868,0.24765734374523163,0.2801523730158806,3.0,0.10357801057398319,0.1597408503293991,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.15499421954154968,0.3723830282688141,0.4561243475181982,1.5,0.07940523885190487,0.11568763107061386,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.4295853078365326,0.4321650564670563,0.0014387565024662763,9.0,-0.0017113182693719864,0.056426290422677994,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.20169574860483408,0.41705459356307983,0.48795190965756774,0.875,0.13105757161974907,0.15070302784442902,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,-0.012807890772819519,0.28718456625938416,0.31708118331152946,2.25,0.06238517537713051,0.06855311989784241,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.1960681863129139,0.32076048851013184,0.015541092259809375,6.0,0.07512292079627514,0.1293560415506363,0
Llama-3.1-8B-Instruct,0,mmlu,,0,0,0.3310277760028839,0.4284842312335968,0.012487269996199757,5.75,0.08872968703508377,0.12549124658107758,0
Llama-3.1-8B-Instruct,0,mmlu,,0,1,0.26243583485484123,0.4332851767539978,0.5630705831572413,0.875,0.09459790587425232,0.1177869588136673,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.0020491182804107666,0.25849366188049316,0.12260355055332184,3.875,0.05028683319687843,0.05761227756738663,0
Llama-3.1-8B-Instruct,0,mmlu,,1,0,0.23868079483509064,0.3697682023048401,0.038381443766411394,4.25,0.03943546675145626,0.07365068793296814,0
Llama-3.1-8B-Instruct,0,mmlu,,1,1,0.309103861451149,0.4500015676021576,0.568070326000452,0.375,-0.1285233348608017,-0.10453979671001434,0
