model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.11043106019496918,0.5640281438827515,0.2670174475933891,10.625,0.12366911396384239,0.1358371078968048,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.01054103672504425,0.4686160087585449,0.04664793785195798,8.625,0.2958083972334862,0.5359362959861755,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.18345848470926285,0.45803675055503845,0.2447381243109703,5.25,0.216653972864151,0.2962038516998291,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.4264559671282768,0.6448447108268738,0.1771702142432332,6.0,0.28044988214969635,0.353085458278656,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.08391952514648438,0.4742812216281891,0.09187386208213866,9.875,0.14892452955245972,0.16957612335681915,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,0.15630866959691048,0.40259459614753723,0.017125948332250118,6.875,0.25028241239488125,0.4582984745502472,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,0.3269963711500168,0.5096336603164673,0.35464480333030224,6.25,0.34484459459781647,0.4573388397693634,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.0819057822227478,0.18677246570587158,0.17426701474335005,16.625,0.14307158067822456,0.20962977409362793,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.23942158836871386,0.49767354130744934,0.05019464157521725,5.125,0.2995908781886101,0.41294166445732117,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.33401893824338913,0.09372122585773468,0.039488657377660275,5.25,0.3205806463956833,0.5177847146987915,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.024196237325668335,0.392381876707077,0.5754480548112042,14.75,0.18932053446769714,0.21013450622558594,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,0.018526391126215458,0.045354537665843964,0.3850923217833042,3.75,0.2878614366054535,0.47134754061698914,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,0.12130525708198547,0.6360151767730713,0.727956235408783,1.25,0.20563995093107224,0.2605482041835785,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.16044944524765015,0.22750169038772583,0.05893420148640871,4.0,0.23654767870903015,0.345439612865448,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.254162073135376,0.29807162284851074,0.07653074618428946,7.5,0.30301225930452347,0.4545002281665802,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.2825242951512337,0.4384952485561371,0.5221829600632191,6.625,0.24401506036520004,0.3899818956851959,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.23417126759886742,0.42703482508659363,0.11580305454663176,13.375,0.18568702414631844,0.2568834722042084,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.16072328388690948,0.6163537502288818,0.1596331017844932,12.75,0.21325772255659103,0.2765107750892639,0
