model,gamma,dataset,task,feature_group,auc,accuracy
Qwen3-8B,0,mmlu,5A_Correctness,Baseline,0.8156190476190476,0.8
Qwen3-8B,0,mmlu,5A_Correctness,Real-U,0.8373333333333333,0.8099999999999999
Qwen3-8B,0,mmlu,5A_Correctness,Rand-U,0.8102857142857143,0.8
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Baseline,0.6622710622710621,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Real-U,0.6994505494505494,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6723443223443224,0.0
Qwen3-8B,0,medqa,5A_Correctness,Baseline,0.6516190476190478,0.71
Qwen3-8B,0,medqa,5A_Correctness,Real-U,0.6537142857142857,0.71
Qwen3-8B,0,medqa,5A_Correctness,Rand-U,0.6436190476190475,0.7
Qwen3-8B,1,mmlu,5A_Correctness,Baseline,0.8357142857142857,0.8099999999999999
Qwen3-8B,1,mmlu,5A_Correctness,Real-U,0.8523809523809524,0.82
Qwen3-8B,1,mmlu,5A_Correctness,Rand-U,0.8404761904761905,0.8099999999999999
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Baseline,0.6437728937728937,0.0
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Real-U,0.6868131868131868,0.0
Qwen3-8B,1,mmlu,5B_ReasoningDemand,Rand-U,0.6673992673992675,0.0
Qwen3-8B,1,medqa,5A_Correctness,Baseline,0.6532380952380953,0.7300000000000001
Qwen3-8B,1,medqa,5A_Correctness,Real-U,0.6666666666666667,0.71
Qwen3-8B,1,medqa,5A_Correctness,Rand-U,0.6452380952380953,0.7300000000000001
Qwen3-8B,2,mmlu,5A_Correctness,Baseline,0.8357142857142857,0.8099999999999999
Qwen3-8B,2,mmlu,5A_Correctness,Real-U,0.8523809523809524,0.82
Qwen3-8B,2,mmlu,5A_Correctness,Rand-U,0.8404761904761905,0.8099999999999999
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Baseline,0.6437728937728937,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Real-U,0.6868131868131868,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Rand-U,0.6673992673992675,0.0
Qwen3-8B,2,medqa,5A_Correctness,Baseline,0.6532380952380953,0.7300000000000001
Qwen3-8B,2,medqa,5A_Correctness,Real-U,0.6666666666666667,0.71
Qwen3-8B,2,medqa,5A_Correctness,Rand-U,0.6452380952380953,0.7300000000000001
