model,gamma,dataset,task,feature_group,auc,accuracy
Qwen3-8B,0,mmlu,5A_Correctness,Baseline,0.8156190476190476,0.8
Qwen3-8B,0,mmlu,5A_Correctness,Real-U,0.8376190476190477,0.8100000000000002
Qwen3-8B,0,mmlu,5A_Correctness,Rand-U,0.8102857142857143,0.8
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Baseline,0.6622710622710621,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Real-U,0.6758241758241759,0.0
Qwen3-8B,0,mmlu,5B_ReasoningDemand,Rand-U,0.6723443223443224,0.0
Qwen3-8B,0,medqa,5A_Correctness,Baseline,0.6516190476190478,0.71
Qwen3-8B,0,medqa,5A_Correctness,Real-U,0.6460000000000001,0.6900000000000001
Qwen3-8B,0,medqa,5A_Correctness,Rand-U,0.6436190476190475,0.7
Qwen3-8B,2,mmlu,5A_Correctness,Baseline,0.8357142857142857,0.8099999999999999
Qwen3-8B,2,mmlu,5A_Correctness,Real-U,0.8476190476190476,0.8200000000000001
Qwen3-8B,2,mmlu,5A_Correctness,Rand-U,0.8404761904761905,0.8099999999999999
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Baseline,0.6437728937728937,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Real-U,0.6523809523809524,0.0
Qwen3-8B,2,mmlu,5B_ReasoningDemand,Rand-U,0.6673992673992675,0.0
Qwen3-8B,2,medqa,5A_Correctness,Baseline,0.6532380952380953,0.7300000000000001
Qwen3-8B,2,medqa,5A_Correctness,Real-U,0.6725714285714285,0.7
Qwen3-8B,2,medqa,5A_Correctness,Rand-U,0.6452380952380953,0.7300000000000001
Qwen3-8B,5,mmlu,5A_Correctness,Baseline,0.8357142857142857,0.8099999999999999
Qwen3-8B,5,mmlu,5A_Correctness,Real-U,0.8476190476190476,0.8200000000000001
Qwen3-8B,5,mmlu,5A_Correctness,Rand-U,0.8404761904761905,0.8099999999999999
Qwen3-8B,5,mmlu,5B_ReasoningDemand,Baseline,0.6529304029304028,0.0
Qwen3-8B,5,mmlu,5B_ReasoningDemand,Real-U,0.6615384615384615,0.0
Qwen3-8B,5,mmlu,5B_ReasoningDemand,Rand-U,0.671978021978022,0.0
Qwen3-8B,5,medqa,5A_Correctness,Baseline,0.6532380952380953,0.7300000000000001
Qwen3-8B,5,medqa,5A_Correctness,Real-U,0.6725714285714285,0.7
Qwen3-8B,5,medqa,5A_Correctness,Rand-U,0.6452380952380953,0.7300000000000001
Qwen3-8B,10,mmlu,5A_Correctness,Baseline,0.8357142857142857,0.8099999999999999
Qwen3-8B,10,mmlu,5A_Correctness,Real-U,0.8476190476190476,0.8200000000000001
Qwen3-8B,10,mmlu,5A_Correctness,Rand-U,0.8404761904761905,0.8099999999999999
Qwen3-8B,10,mmlu,5B_ReasoningDemand,Baseline,0.6529304029304028,0.0
Qwen3-8B,10,mmlu,5B_ReasoningDemand,Real-U,0.6615384615384615,0.0
Qwen3-8B,10,mmlu,5B_ReasoningDemand,Rand-U,0.671978021978022,0.0
Qwen3-8B,10,medqa,5A_Correctness,Baseline,0.6532380952380953,0.7300000000000001
Qwen3-8B,10,medqa,5A_Correctness,Real-U,0.6725714285714285,0.7
Qwen3-8B,10,medqa,5A_Correctness,Rand-U,0.6452380952380953,0.7300000000000001
