model,gamma,direction,dataset,id,y_correct,margin,entropy
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,0,0,1.25,0.9545463714225461
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,1,0,3.75,0.25576013138793924
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,2,0,0.875,1.049439863312599
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,3,0,2.25,0.5813311761517843
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,4,0,0.75,0.9523024681593886
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,5,0,0.375,1.181245081618754
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,6,0,0.625,0.709536772278592
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,7,0,0.125,0.8836817439468136
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,8,0,0.125,1.070054888702908
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,9,0,4.25,0.15407760710946378
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,10,0,1.625,0.48630476860559746
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,11,1,0.5,0.7902828847313587
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,12,1,0.125,1.075601995367393
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,13,1,0.125,1.2215021185224586
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,14,0,0.625,0.9917045139575954
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,15,0,0.75,1.0208885105579186
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,16,0,0.875,0.9491950581994072
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,17,0,2.25,0.6727698534269375
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,18,1,2.375,0.7477619424412689
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,19,0,0.125,1.1752585218378209
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,20,0,0.375,0.9767499094672912
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,21,0,1.25,0.8540619590417691
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,22,1,0.5,1.2296129997287852
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,23,1,0.125,1.1391965946688891
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,24,0,2.75,0.4230406383022266
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,25,0,1.75,0.5835507390758632
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,26,0,2.125,0.7370731284576768
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,27,0,2.125,0.41715341079027485
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,28,0,0.25,1.3684769272674029
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,29,0,3.25,0.3217452499920958
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,30,0,2.5,0.49303028928690884
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,31,0,0.25,0.8003718590809712
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,32,0,0.875,0.9608115876614765
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,33,0,1.75,0.821531244456112
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,34,0,2.0,0.5227806277266925
DeepSeek-R1-Distill-Qwen-7B,0,real,mmlu,35,1,2.125,0.5235176643885485
