model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.4711742401123047,6.942348480224609,0.2670174475933891,10.625,0.12366911396384239,0.1358371078968048,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.4511866569519043,6.902373313903809,0.04664793785195798,8.625,0.2958083972334862,0.5359362959861755,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,2.5184335708618164,5.036867141723633,0.2447381243109703,5.25,0.216653972864151,0.2962038516998291,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.178023338317871,6.356046676635742,0.1771702142432332,6.0,0.28044988214969635,0.353085458278656,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,2.8981971740722656,5.796394348144531,0.09187386208213866,9.875,0.14892452955245972,0.16957612335681915,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,3.377898693084717,6.755797386169434,0.017125948332250118,6.875,0.25028241239488125,0.4582984745502472,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,3.4511866569519043,6.902373313903809,0.35464480333030224,6.25,0.34484459459781647,0.4573388397693634,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.178023338317871,6.356046676635742,0.17426701474335005,16.625,0.14307158067822456,0.20962977409362793,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.2113356590270996,6.422671318054199,0.05019464157521725,5.125,0.2995908781886101,0.41294166445732117,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,3.6244120597839355,7.248824119567871,0.039488657377660275,5.25,0.3205806463956833,0.5177847146987915,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.6577248573303223,7.3154497146606445,0.5754480548112042,14.75,0.18932053446769714,0.21013450622558594,0
Qwen2.5-7B-Instruct,0,mmlu,,0,0,3.3579111099243164,6.715822219848633,0.3850923217833042,3.75,0.2878614366054535,0.47134754061698914,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,3.0381102561950684,6.076220512390137,0.727956235408783,1.25,0.20563995093107224,0.2605482041835785,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.497824192047119,6.995648384094238,0.05893420148640871,4.0,0.23654767870903015,0.345439612865448,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.431199073791504,6.862398147583008,0.07653074618428946,7.5,0.30301225930452347,0.4545002281665802,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,4.72372841835022,5.743094444274902,0.5221829600632191,6.625,0.24401506036520004,0.3899818956851959,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,4.090788841247559,4.210714340209961,0.11580305454663176,13.375,0.18568702414631844,0.2568834722042084,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.291285991668701,6.582571983337402,0.1596331017844932,12.75,0.21325772255659103,0.2765107750892639,0
Qwen2.5-7B-Instruct,0,mmlu,,1,1,3.3712363243103027,6.7424726486206055,0.1612154529138934,10.75,0.29855865985155106,0.4412652552127838,0
Qwen2.5-7B-Instruct,0,mmlu,,1,0,3.7709875106811523,7.541975021362305,0.04086319118505344,4.25,0.16134172677993774,0.23854728043079376,0
Qwen2.5-7B-Instruct,0,mmlu,,0,1,3.42453670501709,6.84907341003418,0.5273576378822327,3.125,0.1366237848997116,0.17433521151542664,0
